TargetedAdIm_Fm1,GeneralDiscussionIm_Fm1,BiofeedbackIm_Fm1,SkillsTrainingIm_Fm1,CognitiveTheropyIm_Fm1,HighCarbIm_Fm1,VeryLowCarbIm_Fm1,GeneralEducationIm_Fm1,LowCarbIm_Fm1,RelaspsePreventionIm_Fm1,NormalCarbIm_Fm1,RelaxationIm_Fm1,ProblemSolvingIm_Fm1,CarbCountingInsulinIm_Fm1,SocialSupportIm_Fm1,SpatiotemporalThreadIm_Fm1,BehaviorTherapyIm_Fm1,SlidingScaleInsulinIm_Fm1,SensualThreadIm_Fm1,GamificationIm_Fm1,QuizIm_Fm1,ExerciseIm_Fm1,DietIm_Fm1,EmotionalThreadIm_Fm1,MiscellaneousIm_Fm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.44880762696266174,0.21730258067448935,0.676856259504954,0.6500362555185953,0.43583563963572186,2.428967386852972,4.137927423760875,0.5685739914576212,4.296091802508039,0.6153282125790914,4.0386608460408215,0.6510933041572571,0.31582597891489667,3.9275818381333227,0.5796429514884949,0.6759483888745308,0.8117035031318665,3.8530437498892165,0.3576289042830467,0.5886543889840444,0.5092598497867584,0.387761910756429,0.33864323298136395,0.4981304854154587,0.38736196358998615,
1.1503261824448905,0.5108094612757365,1.4657687346140542,1.209883411725362,1.0731166402498882,4.5295504104528135,8.376235809461392,0.8662005265553792,8.594966683291503,1.2749677499135337,7.967114390371859,1.1294801036516826,0.8976614475250244,8.159987739038062,0.8709544539451599,1.0352675914764404,1.2743875583012898,8.075873745965978,0.8469995483756065,1.0037396848201752,1.1223754982153573,0.5364638169606526,1.0433430075645447,0.9797057658433914,0.7279884417851765,
1.889588475227356,0.9923070669174194,1.7534912427266438,1.5181569854418435,1.6999101837476096,5.944100360131107,12.674819455408375,1.5916030406951904,12.63507526682281,1.6180876096089682,11.45881991006692,1.489856759707133,1.558461089928945,12.451552587056579,1.4715085426966348,1.3812789916992188,1.6533429622650146,12.374876717349554,1.2682635113596916,1.6550560692946115,1.6603053410847979,1.287796437740326,1.4925898909568787,1.5293115004897118,0.9231575926144917,
2.4776645402113595,1.8463798960049949,2.071911036968231,2.186342696348826,2.208541790644328,7.040074719338181,16.94992916751963,1.834067662556966,16.614526062218957,2.1687641739845276,14.774492594382178,1.6881572008132935,2.1569105188051862,16.65348692264004,2.1427692969640093,1.8569416180253029,1.997299591700236,16.603717061302387,1.7466397061944008,2.1992732882499695,2.1278296907742815,1.8217541178067527,2.1437018712361655,1.9981746152043343,1.2707247138023376,
2.8374301294485726,2.464764455954234,2.64634903271993,2.5680187344551086,2.8261600931485495,7.662368273633305,21.144385448699303,2.493646740913391,20.19274848077684,2.5712657968203225,17.719999439448337,2.0242147048314414,2.7454633911450705,20.694596900938738,2.719689011573791,2.527101829648018,2.5074531237284345,20.712942848291192,2.2486172690987587,2.8847413063049316,2.6938311556975045,2.4250684181849165,2.6424214243888855,2.7298176661133766,1.7163777351379395,
3.5109091699123383,2.9411155978838606,3.0992987950642905,3.1358237862586975,2.897701680660248,8.290961970662782,25.34022925257981,2.983937362829844,24.021507082701685,3.1154804825782776,20.745195440146578,2.3127175966898603,3.4577126105626426,24.646737900447025,3.123596608638763,3.0313234701752663,2.9495684703191123,24.707657411035814,2.830994665622711,3.108004331588745,3.1632899045944214,2.906433502833049,3.0043323834737143,3.1759354546666145,2.309283991654714,
4.086737046639125,3.7546118100484214,3.726856867472331,3.7628050247828164,3.312344233194987,9.02472029321055,29.558051838699747,3.4363334973653155,28.101891393753352,3.711793144543966,23.919727988254216,2.862806757291158,4.068750123182933,28.55465177467949,3.6615545153617854,3.6011438742280006,3.314476052920024,28.615851060667207,3.3061253130435944,3.5483793020248413,3.737014283736547,3.170342763264974,3.377463241418203,3.7953145876526833,2.6338266531626386,
4.5208476185798645,4.640893757343292,4.034000198046367,4.101160724957784,3.8806174596150713,9.161134446996549,33.62339158876908,4.048645754655202,31.352845026003017,4.1431304812431335,26.50714151802414,3.3415674765904746,4.202501396338145,32.301964249856944,3.801135917504628,4.173504717648029,3.70478904247284,32.46945518683027,3.824344351887703,4.11323814590772,4.24683572848638,3.7542692224184675,4.001197238763174,4.379830032587051,3.4634472529093427,
4.997637987136841,4.840804616610209,4.495452205340068,4.635595460732778,4.387759764989217,9.304173196723436,37.69076559602648,4.551966309547424,34.67148358748324,4.8815916776657104,29.116435349870194,3.951099475224813,4.6168170770009365,36.02915725279266,4.2723843057950335,4.591123789548874,4.255775491396586,36.29549163769381,4.229304380714893,4.378551850716272,4.798662374416987,4.335403323173523,4.653422137101492,4.835165798664093,3.8468139568964643,
